K,n_true,n,rho,umbral_bf,p_any,p_true
20,1,40,0.0,4,0.15575,
20,1,40,0.0,6,0.1075,
20,1,40,0.0,10,0.06075,
20,1,40,0.2,4,0.1825,0.04575
20,1,40,0.2,6,0.124,0.03
20,1,40,0.2,10,0.074,0.0185
20,1,40,0.3,4,0.2315,0.10975
20,1,40,0.3,6,0.166,0.08325
20,1,40,0.3,10,0.1075,0.05825
20,1,40,0.4,4,0.30225,0.21625
20,1,40,0.4,6,0.22425,0.16475
20,1,40,0.4,10,0.15325,0.1165
20,1,40,0.5,4,0.47375,0.403
20,1,40,0.5,6,0.3885,0.3395
20,1,40,0.5,10,0.30175,0.271
20,1,50,0.0,4,0.13975,
20,1,50,0.0,6,0.09,
20,1,50,0.0,10,0.05625,
20,1,50,0.2,4,0.18425,0.0675
20,1,50,0.2,6,0.13,0.0485
20,1,50,0.2,10,0.07875,0.03375
20,1,50,0.3,4,0.26575,0.1615
20,1,50,0.3,6,0.197,0.12625
20,1,50,0.3,10,0.13125,0.092
20,1,50,0.4,4,0.44075,0.36925
20,1,50,0.4,6,0.3605,0.309
20,1,50,0.4,10,0.28075,0.24775
20,1,50,0.5,4,0.64675,0.5995
20,1,50,0.5,6,0.57075,0.536
20,1,50,0.5,10,0.4835,0.45875
20,1,60,0.0,4,0.13225,
20,1,60,0.0,6,0.08925,
20,1,60,0.0,10,0.05175,
20,1,60,0.2,4,0.18525,0.0785
20,1,60,0.2,6,0.127,0.0565
20,1,60,0.2,10,0.08075,0.03725
20,1,60,0.3,4,0.3025,0.21925
20,1,60,0.3,6,0.2335,0.1745
20,1,60,0.3,10,0.166,0.133
20,1,60,0.4,4,0.533,0.48
20,1,60,0.4,6,0.45575,0.4155
20,1,60,0.4,10,0.374,0.3475
20,1,60,0.5,4,0.77575,0.7505
20,1,60,0.5,6,0.71725,0.699
20,1,60,0.5,10,0.65025,0.6365
20,1,72,0.0,4,0.12325,
20,1,72,0.0,6,0.08625,
20,1,72,0.0,10,0.05275,
20,1,72,0.2,4,0.19975,0.0945
20,1,72,0.2,6,0.1435,0.0705
20,1,72,0.2,10,0.09225,0.0535
20,1,72,0.3,4,0.37025,0.29525
20,1,72,0.3,6,0.30125,0.24525
20,1,72,0.3,10,0.22375,0.19375
20,1,72,0.4,4,0.64025,0.605
20,1,72,0.4,6,0.56925,0.54125
20,1,72,0.4,10,0.48975,0.4735
20,1,72,0.5,4,0.89175,0.8805
20,1,72,0.5,6,0.8505,0.844
20,1,72,0.5,10,0.79775,0.79025
20,1,85,0.0,4,0.1165,
20,1,85,0.0,6,0.07875,
20,1,85,0.0,10,0.03925,
20,1,85,0.2,4,0.219,0.1335
20,1,85,0.2,6,0.16375,0.1045
20,1,85,0.2,10,0.1075,0.07425
20,1,85,0.3,4,0.45075,0.389
20,1,85,0.3,6,0.369,0.32625
20,1,85,0.3,10,0.2925,0.263
20,1,85,0.4,4,0.75575,0.73175
20,1,85,0.4,6,0.69075,0.67425
20,1,85,0.4,10,0.6205,0.60925
20,1,85,0.5,4,0.94825,0.94325
20,1,85,0.5,6,0.9305,0.926
20,1,85,0.5,10,0.9025,0.89775
20,1,100,0.0,4,0.099,
20,1,100,0.0,6,0.06525,
20,1,100,0.0,10,0.03775,
20,1,100,0.2,4,0.25,0.168
20,1,100,0.2,6,0.18425,0.129
20,1,100,0.2,10,0.1285,0.09275
20,1,100,0.3,4,0.521,0.47625
20,1,100,0.3,6,0.444,0.414
20,1,100,0.3,10,0.3715,0.3505
20,1,100,0.4,4,0.852,0.8385
20,1,100,0.4,6,0.809,0.7985
20,1,100,0.4,10,0.7515,0.744
20,1,100,0.5,4,0.98075,0.97875
20,1,100,0.5,6,0.97275,0.9715
20,1,100,0.5,10,0.95875,0.958
20,1,120,0.0,4,0.0895,
20,1,120,0.0,6,0.057,
20,1,120,0.0,10,0.03225,
20,1,120,0.2,4,0.26375,0.20125
20,1,120,0.2,6,0.20475,0.162
20,1,120,0.2,10,0.14575,0.12275
20,1,120,0.3,4,0.64,0.60925
20,1,120,0.3,6,0.581,0.554
20,1,120,0.3,10,0.49725,0.4815
20,1,120,0.4,4,0.922,0.914
20,1,120,0.4,6,0.89825,0.89075
20,1,120,0.4,10,0.86425,0.859
20,1,120,0.5,4,0.99575,0.9955
20,1,120,0.5,6,0.994,0.99375
20,1,120,0.5,10,0.99225,0.992
20,1,140,0.0,4,0.0855,
20,1,140,0.0,6,0.059,
20,1,140,0.0,10,0.0335,
20,1,140,0.2,4,0.323,0.26225
20,1,140,0.2,6,0.25725,0.21325
20,1,140,0.2,10,0.1915,0.1665
20,1,140,0.3,4,0.72925,0.70575
20,1,140,0.3,6,0.66425,0.64725
20,1,140,0.3,10,0.5955,0.58325
20,1,140,0.4,4,0.95875,0.95475
20,1,140,0.4,6,0.942,0.93875
20,1,140,0.4,10,0.92175,0.91975
20,1,140,0.5,4,0.9985,0.9985
20,1,140,0.5,6,0.99775,0.99775
20,1,140,0.5,10,0.997,0.997
20,1,160,0.0,4,0.08175,
20,1,160,0.0,6,0.0545,
20,1,160,0.0,10,0.029,
20,1,160,0.2,4,0.35925,0.30575
20,1,160,0.2,6,0.29625,0.259
20,1,160,0.2,10,0.22375,0.20325
20,1,160,0.3,4,0.7895,0.77525
20,1,160,0.3,6,0.742,0.73075
20,1,160,0.3,10,0.6775,0.66875
20,1,160,0.4,4,0.9845,0.98375
20,1,160,0.4,6,0.97625,0.97625
20,1,160,0.4,10,0.963,0.96275
