K,n_true,n,rho,p_any,p_true,media_falsos
5,1,40,0.0,0.05,,0.055
5,1,40,0.3,0.2725,0.2325,0.0625
5,1,40,0.4,0.47,0.445,0.08
5,1,60,0.0,0.0575,,0.065
5,1,60,0.3,0.4775,0.44,0.08
5,1,60,0.4,0.725,0.715,0.07
5,1,72,0.0,0.0425,,0.045
5,1,72,0.3,0.4775,0.455,0.0425
5,1,72,0.4,0.81,0.8,0.0625
5,1,100,0.0,0.05,,0.055
5,1,100,0.3,0.655,0.64,0.065
5,1,100,0.4,0.94,0.935,0.0675
5,1,140,0.0,0.03,,0.0325
5,1,140,0.3,0.865,0.86,0.07
5,1,140,0.4,0.9875,0.9875,0.075
14,1,40,0.0,0.17,,0.2175
14,1,40,0.3,0.3125,0.195,0.21
14,1,40,0.4,0.4925,0.4125,0.195
14,1,60,0.0,0.095,,0.1075
14,1,60,0.3,0.4775,0.38,0.215
14,1,60,0.4,0.695,0.655,0.1375
14,1,72,0.0,0.1125,,0.1275
14,1,72,0.3,0.5175,0.47,0.155
14,1,72,0.4,0.7925,0.77,0.1625
14,1,100,0.0,0.1225,,0.1475
14,1,100,0.3,0.665,0.63,0.115
14,1,100,0.4,0.905,0.9,0.1775
14,1,140,0.0,0.1025,,0.1175
14,1,140,0.3,0.815,0.7975,0.1425
14,1,140,0.4,0.985,0.985,0.1525
