K,n_true,n,rho,p_any,p_true,media_falsos
20,1,40,0.0,0.2425,,0.3475
20,1,40,0.2,0.31,0.105,0.395
20,1,40,0.3,0.4425,0.2475,0.4125
20,1,40,0.4,0.575,0.47,0.3925
20,1,40,0.5,0.7875,0.7125,0.465
20,1,50,0.0,0.1925,,0.2775
20,1,50,0.2,0.3375,0.1425,0.3275
20,1,50,0.3,0.3975,0.27,0.2325
20,1,50,0.4,0.645,0.575,0.2525
20,1,50,0.5,0.87,0.84,0.3075
20,1,60,0.0,0.185,,0.235
20,1,60,0.2,0.295,0.1325,0.24
20,1,60,0.3,0.485,0.355,0.24
20,1,60,0.4,0.7275,0.685,0.2025
20,1,60,0.5,0.9175,0.915,0.2625
20,1,72,0.0,0.1675,,0.2025
20,1,72,0.2,0.29,0.15,0.2125
20,1,72,0.3,0.5175,0.435,0.2
20,1,72,0.4,0.785,0.7425,0.2425
20,1,72,0.5,0.935,0.935,0.2775
20,1,85,0.0,0.1525,,0.185
20,1,85,0.2,0.35,0.22,0.205
20,1,85,0.3,0.5775,0.5175,0.1725
20,1,85,0.4,0.85,0.8275,0.22
20,1,85,0.5,0.985,0.9825,0.2275
20,1,100,0.0,0.125,,0.1425
20,1,100,0.2,0.345,0.23,0.195
20,1,100,0.3,0.6625,0.635,0.1575
20,1,100,0.4,0.9075,0.8925,0.2175
20,1,100,0.5,0.9975,0.9975,0.2175
20,1,120,0.0,0.15,,0.1725
20,1,120,0.2,0.4075,0.31,0.22
20,1,120,0.3,0.75,0.7075,0.18
20,1,120,0.4,0.965,0.9625,0.23
20,1,120,0.5,1.0,1.0,0.235
20,1,140,0.0,0.1325,,0.1525
20,1,140,0.2,0.3875,0.3125,0.1725
20,1,140,0.3,0.79,0.7575,0.16
20,1,140,0.4,0.9925,0.9925,0.22
20,1,140,0.5,1.0,1.0,0.175
20,1,160,0.0,0.16,,0.1725
20,1,160,0.2,0.4975,0.4225,0.18
20,1,160,0.3,0.895,0.8775,0.2
20,1,160,0.4,0.9975,0.9975,0.1925
20,1,160,0.5,1.0,1.0,0.24
10,1,40,0.0,0.1125,,0.125
10,1,40,0.3,0.295,0.215,0.1275
10,1,40,0.4,0.4825,0.455,0.1275
10,1,60,0.0,0.0975,,0.1
10,1,60,0.3,0.4275,0.385,0.105
10,1,60,0.4,0.7275,0.71,0.115
10,1,72,0.0,0.0775,,0.095
10,1,72,0.3,0.4325,0.3975,0.085
10,1,72,0.4,0.8025,0.77,0.14
10,1,100,0.0,0.0875,,0.1
10,1,100,0.3,0.6425,0.6275,0.0725
10,1,100,0.4,0.92,0.91,0.1225
10,1,140,0.0,0.0675,,0.07
10,1,140,0.3,0.82,0.805,0.11
10,1,140,0.4,0.9825,0.98,0.1275
20,2,40,0.3,0.6025,0.475,0.4675
20,2,50,0.3,0.6325,0.565,0.285
20,2,60,0.3,0.7125,0.665,0.2825
20,2,72,0.3,0.7775,0.735,0.245
20,2,85,0.3,0.835,0.8075,0.225
20,2,100,0.3,0.875,0.8625,0.21
20,2,120,0.3,0.945,0.9375,0.195
20,2,140,0.3,0.98,0.9775,0.235
20,2,160,0.3,0.9975,0.9975,0.215
