n_total,n_por_grupo,d,d_h,p_any,p_true,p_horm
40,20,0.0,0.0,0.2925,,0.0275
40,20,0.5,0.0,0.335,0.145,0.015
40,20,0.65,0.0,0.4225,0.2375,0.0225
40,20,0.8,0.0,0.55,0.4,0.0225
40,20,1.0,0.0,0.7,0.6025,0.01
60,30,0.0,0.0,0.1675,,0.0075
60,30,0.5,0.0,0.35,0.205,0.015
60,30,0.65,0.0,0.4675,0.365,0.0075
60,30,0.8,0.0,0.6325,0.5775,0.015
60,30,1.0,0.0,0.875,0.85,0.0075
80,40,0.0,0.0,0.185,,0.0075
80,40,0.5,0.0,0.37,0.2875,0.0075
80,40,0.65,0.0,0.61,0.545,0.015
80,40,0.8,0.0,0.785,0.7525,0.005
80,40,1.0,0.0,0.9375,0.9275,0.0025
100,50,0.0,0.0,0.13,,0.0125
100,50,0.5,0.0,0.4025,0.3575,0.0075
100,50,0.65,0.0,0.7325,0.695,0.01
100,50,0.8,0.0,0.885,0.875,0.005
100,50,1.0,0.0,0.9825,0.9725,0.005
120,60,0.0,0.0,0.12,,0.005
120,60,0.5,0.0,0.5075,0.45,0.01
120,60,0.65,0.0,0.72,0.6925,0.005
120,60,0.8,0.0,0.92,0.915,0.01
120,60,1.0,0.0,0.9925,0.99,0.015
160,80,0.0,0.0,0.11,,0.0025
160,80,0.5,0.0,0.615,0.58,0.01
160,80,0.65,0.0,0.885,0.8725,0.005
160,80,0.8,0.0,0.9825,0.9825,0.01
160,80,1.0,0.0,0.9975,0.9975,0.0075
40,20,0.0,0.3,0.27,,0.06
40,20,0.65,0.3,0.4525,0.2725,0.0425
40,20,0.8,0.3,0.5975,0.4325,0.06
60,30,0.0,0.3,0.1575,,0.0575
60,30,0.65,0.3,0.4575,0.3525,0.0725
60,30,0.8,0.3,0.63,0.57,0.0475
80,40,0.0,0.3,0.1325,,0.1075
80,40,0.65,0.3,0.5575,0.4875,0.0525
80,40,0.8,0.3,0.79,0.75,0.085
100,50,0.0,0.3,0.115,,0.1175
100,50,0.65,0.3,0.66,0.6125,0.0925
100,50,0.8,0.3,0.885,0.8575,0.1025
120,60,0.0,0.3,0.11,,0.1275
120,60,0.65,0.3,0.765,0.735,0.125
120,60,0.8,0.3,0.9075,0.9025,0.125
160,80,0.0,0.3,0.135,,0.1975
160,80,0.65,0.3,0.86,0.8525,0.2
160,80,0.8,0.3,0.9875,0.985,0.195
