K,N,n_por_grupo,R2,d_h,power_bf4,power_bf6,power_bf10
5,40,20,0.0,0.0,0.01125,0.00725,0.00275
5,40,20,0.0,0.3,0.02425,0.017,0.012
5,40,20,0.04,0.0,0.0295,0.02,0.01325
5,40,20,0.04,0.3,0.0495,0.03475,0.02275
5,40,20,0.09,0.0,0.08775,0.06425,0.0435
5,40,20,0.09,0.3,0.1115,0.0805,0.05425
5,40,20,0.16,0.0,0.20425,0.15675,0.11625
5,40,20,0.16,0.3,0.2535,0.20325,0.14875
5,40,20,0.25,0.0,0.45025,0.38625,0.31
5,40,20,0.25,0.3,0.52375,0.457,0.3685
5,60,30,0.0,0.0,0.0065,0.0045,0.0025
5,60,30,0.0,0.3,0.023,0.01725,0.01025
5,60,30,0.04,0.0,0.037,0.02925,0.019
5,60,30,0.04,0.3,0.0655,0.04775,0.03275
5,60,30,0.09,0.0,0.13775,0.114,0.07975
5,60,30,0.09,0.3,0.2,0.16225,0.1225
5,60,30,0.16,0.0,0.36875,0.31625,0.24825
5,60,30,0.16,0.3,0.457,0.3965,0.3345
5,60,30,0.25,0.0,0.696,0.63975,0.568
5,60,30,0.25,0.3,0.78,0.73375,0.6715
5,80,40,0.0,0.0,0.004,0.00275,0.0015
5,80,40,0.0,0.3,0.02125,0.01375,0.0095
5,80,40,0.04,0.0,0.05525,0.0425,0.02775
5,80,40,0.04,0.3,0.09525,0.073,0.05825
5,80,40,0.09,0.0,0.2025,0.164,0.128
5,80,40,0.09,0.3,0.2845,0.23925,0.18725
5,80,40,0.16,0.0,0.5165,0.4645,0.39425
5,80,40,0.16,0.3,0.62125,0.57075,0.51
5,80,40,0.25,0.0,0.87225,0.83925,0.79575
5,80,40,0.25,0.3,0.924,0.901,0.8685
5,100,50,0.0,0.0,0.00475,0.00325,0.002
5,100,50,0.0,0.3,0.0245,0.01625,0.00825
5,100,50,0.04,0.0,0.06575,0.05225,0.03575
5,100,50,0.04,0.3,0.128,0.1035,0.0815
5,100,50,0.09,0.0,0.2715,0.228,0.18425
5,100,50,0.09,0.3,0.37525,0.32475,0.2715
5,100,50,0.16,0.0,0.652,0.6075,0.5435
5,100,50,0.16,0.3,0.76275,0.726,0.668
5,100,50,0.25,0.0,0.94675,0.929,0.9055
5,100,50,0.25,0.3,0.97675,0.9685,0.953
5,150,75,0.0,0.0,0.0035,0.00225,0.0015
5,150,75,0.0,0.3,0.029,0.024,0.01725
5,150,75,0.04,0.0,0.09,0.0735,0.05675
5,150,75,0.04,0.3,0.2245,0.19075,0.15525
5,150,75,0.09,0.0,0.44,0.3905,0.339
5,150,75,0.09,0.3,0.63175,0.58625,0.52275
5,150,75,0.16,0.0,0.88825,0.86075,0.83075
5,150,75,0.16,0.3,0.95025,0.9355,0.909
5,150,75,0.25,0.0,0.99625,0.99525,0.99375
5,150,75,0.25,0.3,0.99975,0.99975,0.99925
5,200,100,0.0,0.0,0.00075,0.0005,0.00025
5,200,100,0.0,0.3,0.04025,0.03,0.02225
5,200,100,0.04,0.0,0.1435,0.121,0.0975
5,200,100,0.04,0.3,0.34125,0.30075,0.25775
5,200,100,0.09,0.0,0.61,0.56325,0.51025
5,200,100,0.09,0.3,0.80325,0.77175,0.72225
5,200,100,0.16,0.0,0.9705,0.96275,0.9505
5,200,100,0.16,0.3,0.98925,0.98675,0.98025
5,200,100,0.25,0.0,0.99975,0.99975,0.99975
5,200,100,0.25,0.3,1.0,1.0,1.0
5,250,125,0.0,0.0,0.00175,0.0005,0.00025
5,250,125,0.0,0.3,0.05625,0.047,0.038
5,250,125,0.04,0.0,0.202,0.17575,0.141
5,250,125,0.04,0.3,0.467,0.423,0.375
5,250,125,0.09,0.0,0.751,0.72175,0.67725
5,250,125,0.09,0.3,0.906,0.88275,0.85575
5,250,125,0.16,0.0,0.99475,0.993,0.99075
5,250,125,0.16,0.3,0.99875,0.998,0.99725
5,250,125,0.25,0.0,1.0,1.0,1.0
5,250,125,0.25,0.3,1.0,1.0,1.0
5,300,150,0.0,0.0,0.0005,0.00025,0.0
5,300,150,0.0,0.3,0.06725,0.05525,0.04175
5,300,150,0.04,0.0,0.2425,0.21125,0.17475
5,300,150,0.04,0.3,0.5695,0.52875,0.47625
5,300,150,0.09,0.0,0.862,0.84075,0.805
5,300,150,0.09,0.3,0.96375,0.95475,0.94025
5,300,150,0.16,0.0,0.99975,0.99925,0.9985
5,300,150,0.16,0.3,1.0,1.0,1.0
5,300,150,0.25,0.0,1.0,1.0,1.0
5,300,150,0.25,0.3,1.0,1.0,1.0
10,40,20,0.0,0.0,0.01025,0.006,0.003
10,40,20,0.0,0.3,0.0135,0.0105,0.00675
10,40,20,0.04,0.0,0.02,0.0135,0.00825
10,40,20,0.04,0.3,0.0245,0.017,0.0105
10,40,20,0.09,0.0,0.044,0.033,0.0205
10,40,20,0.09,0.3,0.06175,0.046,0.0265
10,40,20,0.16,0.0,0.10575,0.0825,0.0595
10,40,20,0.16,0.3,0.1255,0.09675,0.06775
10,40,20,0.25,0.0,0.23125,0.186,0.1395
10,40,20,0.25,0.3,0.29175,0.238,0.18525
10,60,30,0.0,0.0,0.00575,0.0035,0.00275
10,60,30,0.0,0.3,0.00725,0.0045,0.0025
10,60,30,0.04,0.0,0.0215,0.015,0.00875
10,60,30,0.04,0.3,0.0305,0.0225,0.01275
10,60,30,0.09,0.0,0.06475,0.04975,0.0325
10,60,30,0.09,0.3,0.0905,0.06925,0.0485
10,60,30,0.16,0.0,0.19525,0.164,0.12875
10,60,30,0.16,0.3,0.22975,0.19325,0.15075
10,60,30,0.25,0.0,0.46875,0.41125,0.34875
10,60,30,0.25,0.3,0.55025,0.4915,0.422
10,80,40,0.0,0.0,0.005,0.00375,0.0025
10,80,40,0.0,0.3,0.008,0.00425,0.00125
10,80,40,0.04,0.0,0.02375,0.01925,0.01225
10,80,40,0.04,0.3,0.04225,0.032,0.023
10,80,40,0.09,0.0,0.08075,0.06375,0.04575
10,80,40,0.09,0.3,0.1265,0.1025,0.0765
10,80,40,0.16,0.0,0.289,0.2475,0.20075
10,80,40,0.16,0.3,0.37625,0.32625,0.2755
10,80,40,0.25,0.0,0.6735,0.62575,0.56725
10,80,40,0.25,0.3,0.75125,0.71225,0.661
10,100,50,0.0,0.0,0.0045,0.003,0.0025
10,100,50,0.0,0.3,0.01175,0.009,0.0055
10,100,50,0.04,0.0,0.02425,0.01925,0.0135
10,100,50,0.04,0.3,0.0495,0.04125,0.03
10,100,50,0.09,0.0,0.10875,0.085,0.065
10,100,50,0.09,0.3,0.18275,0.155,0.12525
10,100,50,0.16,0.0,0.40425,0.3595,0.305
10,100,50,0.16,0.3,0.53225,0.48025,0.425
10,100,50,0.25,0.0,0.82,0.78375,0.73875
10,100,50,0.25,0.3,0.8835,0.86075,0.8245
10,150,75,0.0,0.0,0.002,0.00175,0.0005
10,150,75,0.0,0.3,0.0105,0.00725,0.00475
10,150,75,0.04,0.0,0.031,0.02425,0.01725
10,150,75,0.04,0.3,0.09225,0.07775,0.05975
10,150,75,0.09,0.0,0.2115,0.18625,0.157
10,150,75,0.09,0.3,0.35175,0.3105,0.2625
10,150,75,0.16,0.0,0.67725,0.6355,0.5895
10,150,75,0.16,0.3,0.7995,0.76975,0.72525
10,150,75,0.25,0.0,0.977,0.9695,0.9605
10,150,75,0.25,0.3,0.99175,0.989,0.98275
10,200,100,0.0,0.0,0.00025,0.00025,0.00025
10,200,100,0.0,0.3,0.0095,0.0075,0.00475
10,200,100,0.04,0.0,0.04775,0.04025,0.03075
10,200,100,0.04,0.3,0.1345,0.117,0.09575
10,200,100,0.09,0.0,0.3325,0.30075,0.2585
10,200,100,0.09,0.3,0.54425,0.504,0.45
10,200,100,0.16,0.0,0.86725,0.84275,0.80925
10,200,100,0.16,0.3,0.9395,0.92875,0.9075
10,200,100,0.25,0.0,0.99675,0.9955,0.99425
10,200,100,0.25,0.3,0.99875,0.9985,0.9975
10,250,125,0.0,0.0,0.0005,0.0005,0.00025
10,250,125,0.0,0.3,0.0165,0.01125,0.008
10,250,125,0.04,0.0,0.0655,0.05575,0.04325
10,250,125,0.04,0.3,0.20475,0.1815,0.153
10,250,125,0.09,0.0,0.47,0.43675,0.39225
10,250,125,0.09,0.3,0.70175,0.67025,0.624
10,250,125,0.16,0.0,0.95325,0.943,0.92925
10,250,125,0.16,0.3,0.984,0.9795,0.97425
10,250,125,0.25,0.0,0.99975,0.99975,0.99975
10,250,125,0.25,0.3,1.0,1.0,1.0
10,300,150,0.0,0.0,0.00025,0.00025,0.00025
10,300,150,0.0,0.3,0.0175,0.01375,0.01
10,300,150,0.04,0.0,0.08775,0.07325,0.05825
10,300,150,0.04,0.3,0.27625,0.246,0.21725
10,300,150,0.09,0.0,0.61375,0.5825,0.53525
10,300,150,0.09,0.3,0.82225,0.798,0.76575
10,300,150,0.16,0.0,0.985,0.98075,0.97675
10,300,150,0.16,0.3,0.9975,0.99675,0.9955
10,300,150,0.25,0.0,1.0,1.0,1.0
10,300,150,0.25,0.3,1.0,1.0,1.0
14,40,20,0.0,0.0,0.0075,0.0055,0.004
14,40,20,0.0,0.3,0.01525,0.01,0.00575
14,40,20,0.04,0.0,0.0145,0.01075,0.007
14,40,20,0.04,0.3,0.02125,0.0125,0.0085
14,40,20,0.09,0.0,0.03475,0.024,0.01725
14,40,20,0.09,0.3,0.044,0.02925,0.01875
14,40,20,0.16,0.0,0.08325,0.0595,0.04025
14,40,20,0.16,0.3,0.081,0.05725,0.039
14,40,20,0.25,0.0,0.15,0.11525,0.0835
14,40,20,0.25,0.3,0.18975,0.1565,0.11775
14,60,30,0.0,0.0,0.0055,0.00375,0.00325
14,60,30,0.0,0.3,0.01075,0.00825,0.005
14,60,30,0.04,0.0,0.01625,0.01175,0.007
14,60,30,0.04,0.3,0.0225,0.01575,0.012
14,60,30,0.09,0.0,0.03875,0.02775,0.019
14,60,30,0.09,0.3,0.06775,0.04925,0.0355
14,60,30,0.16,0.0,0.12,0.091,0.06725
14,60,30,0.16,0.3,0.14875,0.12375,0.09325
14,60,30,0.25,0.0,0.33775,0.29025,0.233
14,60,30,0.25,0.3,0.38125,0.33725,0.2715
14,80,40,0.0,0.0,0.00425,0.00275,0.0025
14,80,40,0.0,0.3,0.01025,0.008,0.0055
14,80,40,0.04,0.0,0.013,0.00875,0.00675
14,80,40,0.04,0.3,0.02925,0.01975,0.01425
14,80,40,0.09,0.0,0.051,0.04125,0.028
14,80,40,0.09,0.3,0.0765,0.06,0.045
14,80,40,0.16,0.0,0.19175,0.16025,0.1285
14,80,40,0.16,0.3,0.245,0.2085,0.1665
14,80,40,0.25,0.0,0.50675,0.45375,0.39625
14,80,40,0.25,0.3,0.6065,0.5615,0.5035
14,100,50,0.0,0.0,0.00175,0.00125,0.00075
14,100,50,0.0,0.3,0.00525,0.00325,0.00175
14,100,50,0.04,0.0,0.014,0.01125,0.0085
14,100,50,0.04,0.3,0.03025,0.024,0.01725
14,100,50,0.09,0.0,0.06525,0.05275,0.039
14,100,50,0.09,0.3,0.10825,0.091,0.07
14,100,50,0.16,0.0,0.2735,0.24075,0.1965
14,100,50,0.16,0.3,0.37475,0.3325,0.2775
14,100,50,0.25,0.0,0.6815,0.63675,0.57975
14,100,50,0.25,0.3,0.77175,0.735,0.687
14,150,75,0.0,0.0,0.0005,0.0005,0.00025
14,150,75,0.0,0.3,0.00675,0.00525,0.00375
14,150,75,0.04,0.0,0.011,0.008,0.00625
14,150,75,0.04,0.3,0.04825,0.039,0.03175
14,150,75,0.09,0.0,0.12175,0.10275,0.08375
14,150,75,0.09,0.3,0.23,0.20125,0.16525
14,150,75,0.16,0.0,0.5215,0.47875,0.42625
14,150,75,0.16,0.3,0.66075,0.62125,0.566
14,150,75,0.25,0.0,0.92925,0.915,0.8905
14,150,75,0.25,0.3,0.96375,0.9535,0.93975
14,200,100,0.0,0.0,0.0005,0.0005,0.00025
14,200,100,0.0,0.3,0.00475,0.00375,0.0025
14,200,100,0.04,0.0,0.0205,0.01525,0.011
14,200,100,0.04,0.3,0.07725,0.064,0.05
14,200,100,0.09,0.0,0.20525,0.1805,0.15475
14,200,100,0.09,0.3,0.37875,0.34775,0.30575
14,200,100,0.16,0.0,0.7285,0.6955,0.656
14,200,100,0.16,0.3,0.85325,0.831,0.801
14,200,100,0.25,0.0,0.99225,0.9905,0.9885
14,200,100,0.25,0.3,0.9975,0.9965,0.996
14,250,125,0.0,0.0,0.0005,0.0005,0.0005
14,250,125,0.0,0.3,0.006,0.005,0.0035
14,250,125,0.04,0.0,0.03325,0.02825,0.022
14,250,125,0.04,0.3,0.10775,0.09425,0.07825
14,250,125,0.09,0.0,0.32125,0.28875,0.25125
14,250,125,0.09,0.3,0.51425,0.48125,0.44075
