K,N,R2,r2hat_medio,power_bf4,power_bf6,power_bf10
5,50,0.0,0.10344012712905132,0.0095,0.0065,0.004
5,50,0.04,0.13800387900156924,0.0425,0.0295,0.01925
5,50,0.09,0.18181695789488242,0.1395,0.10575,0.0775
5,50,0.16,0.23756098991353808,0.3105,0.262,0.20625
5,50,0.25,0.31772190084401053,0.60125,0.5465,0.48275
5,60,0.0,0.08472229251967331,0.00875,0.00475,0.00325
5,60,0.04,0.11793123058000288,0.049,0.03475,0.02575
5,60,0.09,0.1631221899167095,0.1565,0.1215,0.0875
5,60,0.16,0.22448703750693938,0.382,0.33775,0.27425
5,60,0.25,0.3078221946856858,0.73975,0.69,0.623
5,72,0.0,0.07087379116963669,0.008,0.005,0.003
5,72,0.04,0.10567314479245189,0.0515,0.0375,0.025
5,72,0.09,0.15033925122322603,0.196,0.1615,0.1225
5,72,0.16,0.21618425825208476,0.49925,0.448,0.386
5,72,0.25,0.29667552846326983,0.81675,0.78275,0.7295
5,100,0.0,0.0505218861194426,0.00525,0.00275,0.00175
5,100,0.04,0.08660465679269103,0.0735,0.059,0.045
5,100,0.09,0.13402855555385373,0.3085,0.26425,0.2175
5,100,0.16,0.1967859338239628,0.677,0.629,0.56175
5,100,0.25,0.2824265733253319,0.945,0.924,0.905
5,150,0.0,0.03351352949144597,0.003,0.00175,0.00125
5,150,0.04,0.07096084112814742,0.122,0.09675,0.071
5,150,0.09,0.12008339789208784,0.51225,0.465,0.41
5,150,0.16,0.18486477576113708,0.88575,0.86425,0.83625
5,150,0.25,0.27287743529130176,0.9965,0.9955,0.99325
5,200,0.0,0.025407748904301954,0.00225,0.00125,0.00075
5,200,0.04,0.06302481782931106,0.17875,0.1515,0.12275
5,200,0.09,0.11175968304049252,0.673,0.635,0.58275
5,200,0.16,0.17811107243197866,0.9685,0.9605,0.94975
5,200,0.25,0.26601308142307784,0.99975,0.99975,0.99975
5,250,0.0,0.02023561663454551,0.002,0.00175,0.001
5,250,0.04,0.0588797977468872,0.2465,0.21175,0.17825
5,250,0.09,0.10678551984084496,0.80775,0.7725,0.7295
5,250,0.16,0.175852253334929,0.99475,0.9925,0.99075
5,250,0.25,0.2627529590125883,1.0,1.0,1.0
5,300,0.0,0.01663089061227032,0.001,0.0005,0.0005
5,300,0.04,0.05561774780750905,0.31425,0.278,0.23475
5,300,0.09,0.10411047455872269,0.8865,0.862,0.831
5,300,0.16,0.17297091987122656,0.99875,0.99825,0.99725
5,300,0.25,0.2604489327365859,1.0,1.0,1.0
10,50,0.0,0.20605605628792825,0.0065,0.0045,0.003
10,50,0.04,0.2333107736323843,0.025,0.0175,0.01225
10,50,0.09,0.2718510884931532,0.05975,0.047,0.032
10,50,0.16,0.3272982755991706,0.16775,0.137,0.1025
10,50,0.25,0.39496552940245455,0.374,0.3255,0.26925
10,60,0.0,0.16900673756342652,0.006,0.00425,0.00225
10,60,0.04,0.20199048855140847,0.02075,0.01425,0.01025
10,60,0.09,0.24174242626340917,0.0735,0.0565,0.0395
10,60,0.16,0.2972753475006778,0.205,0.1705,0.136
10,60,0.25,0.36889045708072277,0.4695,0.42175,0.36225
10,72,0.0,0.14043031032290265,0.00475,0.00425,0.0025
10,72,0.04,0.1743551214370915,0.0195,0.013,0.0075
10,72,0.09,0.2143102493625188,0.08425,0.068,0.0495
10,72,0.16,0.27556048113729786,0.28225,0.24375,0.2025
10,72,0.25,0.3490220339718992,0.59875,0.5475,0.492
10,100,0.0,0.10102785271600122,0.00325,0.002,0.0015
10,100,0.04,0.13577985819155194,0.02825,0.02025,0.01475
10,100,0.09,0.18102630331257177,0.1395,0.11475,0.0885
10,100,0.16,0.24413519876425044,0.4495,0.407,0.35625
10,100,0.25,0.3216276299495679,0.80625,0.775,0.73525
10,150,0.0,0.0674083899572785,0.002,0.00175,0.00125
10,150,0.04,0.1052797949128904,0.04425,0.03775,0.029
10,150,0.09,0.15032569082418393,0.25,0.221,0.19175
10,150,0.16,0.21362430099336194,0.68625,0.6505,0.6095
10,150,0.25,0.2975782561200313,0.96925,0.95825,0.94525
10,200,0.0,0.050797819118100246,0.0005,0.00025,0.0
10,200,0.04,0.08838002434865655,0.0585,0.04825,0.03575
10,200,0.09,0.1340497419228567,0.38075,0.3365,0.2905
10,200,0.16,0.20087623355144615,0.87475,0.85375,0.82275
10,200,0.25,0.28474334903460014,0.995,0.9935,0.99225
10,250,0.0,0.04036737238368367,0.0005,0.0,0.0
10,250,0.04,0.07808194764951629,0.07925,0.06775,0.056
10,250,0.09,0.1264177367130014,0.53325,0.496,0.456
10,250,0.16,0.19156008262519494,0.947,0.93675,0.92225
10,250,0.25,0.278559405439429,0.99925,0.99925,0.999
10,300,0.0,0.03346449775459497,0.00075,0.00025,0.00025
10,300,0.04,0.07159783186366835,0.10975,0.094,0.07925
10,300,0.09,0.11927254667325995,0.64425,0.61225,0.569
10,300,0.16,0.18556536065035617,0.9825,0.978,0.9735
10,300,0.25,0.27340838478998253,1.0,1.0,1.0
14,50,0.0,0.28464040932906154,0.00475,0.003,0.00125
14,50,0.04,0.310710049163453,0.01475,0.008,0.006
14,50,0.09,0.346120674247265,0.03775,0.02925,0.02
14,50,0.16,0.3946737986230129,0.10575,0.08575,0.0645
14,50,0.25,0.4569315096751953,0.2555,0.21425,0.1695
14,60,0.0,0.2369575008038024,0.0075,0.00475,0.0035
14,60,0.04,0.2665711973734717,0.01775,0.01375,0.009
14,60,0.09,0.3043669839634896,0.04525,0.03375,0.023
14,60,0.16,0.354875660330631,0.12575,0.10325,0.08125
14,60,0.25,0.4206090834029095,0.341,0.29575,0.23825
14,72,0.0,0.19610153874389769,0.00325,0.002,0.00175
14,72,0.04,0.2272829253460356,0.0145,0.01125,0.008
14,72,0.09,0.2694034800113875,0.05725,0.04425,0.03275
14,72,0.16,0.3204921924145404,0.16925,0.14475,0.1095
14,72,0.25,0.3933537863701159,0.45275,0.40775,0.35175
14,100,0.0,0.13929535773010132,0.00175,0.00125,0.00075
14,100,0.04,0.1753682699680426,0.01575,0.0125,0.008
14,100,0.09,0.21661056815818472,0.082,0.068,0.0505
14,100,0.16,0.2771006389724525,0.2985,0.2605,0.219
14,100,0.25,0.35051858053839785,0.6705,0.63175,0.58525
14,150,0.0,0.09484035270749408,0.001,0.00075,0.0005
14,150,0.04,0.13046665431892412,0.026,0.0205,0.01375
14,150,0.09,0.17504270262355845,0.15375,0.13125,0.11075
14,150,0.16,0.23769678863169452,0.542,0.50675,0.4625
14,150,0.25,0.31856991666534135,0.92625,0.91175,0.8925
