K,n_true,n,rho,umbral_bf,p_any,p_true
20,1,40,0.0,4,0.15575,
20,1,40,0.0,6,0.1075,
20,1,40,0.0,10,0.06075,
20,1,40,0.2,4,0.18275,0.04675
20,1,40,0.2,6,0.12425,0.0305
20,1,40,0.2,10,0.074,0.0185
20,1,40,0.3,4,0.23425,0.1135
20,1,40,0.3,6,0.168,0.08525
20,1,40,0.3,10,0.1085,0.06025
20,1,40,0.4,4,0.3105,0.2275
20,1,40,0.4,6,0.23175,0.17275
20,1,40,0.4,10,0.1605,0.125
20,1,40,0.5,4,0.488,0.42075
20,1,40,0.5,6,0.40025,0.3525
20,1,40,0.5,10,0.31225,0.28225
20,1,50,0.0,4,0.13975,
20,1,50,0.0,6,0.09,
20,1,50,0.0,10,0.05625,
20,1,50,0.2,4,0.1845,0.06775
20,1,50,0.2,6,0.13175,0.051
20,1,50,0.2,10,0.08025,0.0355
20,1,50,0.3,4,0.2715,0.1685
20,1,50,0.3,6,0.204,0.13375
20,1,50,0.3,10,0.133,0.0945
20,1,50,0.4,4,0.4505,0.382
20,1,50,0.4,6,0.37225,0.3235
20,1,50,0.4,10,0.29225,0.2595
20,1,50,0.5,4,0.665,0.6205
20,1,50,0.5,6,0.591,0.55775
20,1,50,0.5,10,0.50375,0.48025
20,1,60,0.0,4,0.13225,
20,1,60,0.0,6,0.08925,
20,1,60,0.0,10,0.05175,
20,1,60,0.2,4,0.18775,0.0815
20,1,60,0.2,6,0.129,0.0585
20,1,60,0.2,10,0.08175,0.03825
20,1,60,0.3,4,0.3115,0.2295
20,1,60,0.3,6,0.2415,0.18325
20,1,60,0.3,10,0.1735,0.14075
20,1,60,0.4,4,0.54875,0.49825
20,1,60,0.4,6,0.472,0.43375
20,1,60,0.4,10,0.38975,0.36325
20,1,60,0.5,4,0.79575,0.77275
20,1,60,0.5,6,0.73625,0.7195
20,1,60,0.5,10,0.6685,0.6555
20,1,72,0.0,4,0.12325,
20,1,72,0.0,6,0.08625,
20,1,72,0.0,10,0.05275,
20,1,72,0.2,4,0.20275,0.0985
20,1,72,0.2,6,0.14625,0.07325
20,1,72,0.2,10,0.0935,0.05475
20,1,72,0.3,4,0.3785,0.30575
20,1,72,0.3,6,0.31275,0.25725
20,1,72,0.3,10,0.23325,0.20325
20,1,72,0.4,4,0.66025,0.626
20,1,72,0.4,6,0.588,0.56225
20,1,72,0.4,10,0.50825,0.4925
20,1,72,0.5,4,0.90425,0.8945
20,1,72,0.5,6,0.86875,0.863
20,1,72,0.5,10,0.82075,0.81525
20,1,85,0.0,4,0.1165,
20,1,85,0.0,6,0.07875,
20,1,85,0.0,10,0.03925,
20,1,85,0.2,4,0.223,0.138
20,1,85,0.2,6,0.16625,0.10725
20,1,85,0.2,10,0.1115,0.0785
20,1,85,0.3,4,0.46275,0.40275
20,1,85,0.3,6,0.3835,0.34175
20,1,85,0.3,10,0.30425,0.275
20,1,85,0.4,4,0.772,0.749
20,1,85,0.4,6,0.7125,0.6975
20,1,85,0.4,10,0.64175,0.63125
20,1,85,0.5,4,0.9545,0.95025
20,1,85,0.5,6,0.93775,0.9345
20,1,85,0.5,10,0.9175,0.9135
20,1,100,0.0,4,0.099,
20,1,100,0.0,6,0.06525,
20,1,100,0.0,10,0.03775,
20,1,100,0.2,4,0.25375,0.172
20,1,100,0.2,6,0.1895,0.1355
20,1,100,0.2,10,0.13425,0.09875
20,1,100,0.3,4,0.53675,0.4925
20,1,100,0.3,6,0.46375,0.4345
20,1,100,0.3,10,0.385,0.36475
20,1,100,0.4,4,0.86775,0.85575
20,1,100,0.4,6,0.82725,0.818
20,1,100,0.4,10,0.76825,0.76125
20,1,100,0.5,4,0.985,0.98325
20,1,100,0.5,6,0.9765,0.9755
20,1,100,0.5,10,0.9675,0.967
20,1,120,0.0,4,0.0895,
20,1,120,0.0,6,0.057,
20,1,120,0.0,10,0.03225,
20,1,120,0.2,4,0.2715,0.20975
20,1,120,0.2,6,0.21175,0.16975
20,1,120,0.2,10,0.152,0.12925
20,1,120,0.3,4,0.6565,0.6275
20,1,120,0.3,6,0.60025,0.57475
20,1,120,0.3,10,0.51675,0.50125
20,1,120,0.4,4,0.932,0.92525
20,1,120,0.4,6,0.9085,0.90175
20,1,120,0.4,10,0.876,0.871
20,1,120,0.5,4,0.99675,0.99675
20,1,120,0.5,6,0.99525,0.995
20,1,120,0.5,10,0.99275,0.9925
20,1,140,0.0,4,0.0855,
20,1,140,0.0,6,0.059,
20,1,140,0.0,10,0.0335,
20,1,140,0.2,4,0.33425,0.27475
20,1,140,0.2,6,0.271,0.22775
20,1,140,0.2,10,0.2005,0.1755
20,1,140,0.3,4,0.74475,0.72275
20,1,140,0.3,6,0.68475,0.66925
20,1,140,0.3,10,0.61575,0.60375
20,1,140,0.4,4,0.96625,0.9635
20,1,140,0.4,6,0.951,0.9485
20,1,140,0.4,10,0.92875,0.927
20,1,140,0.5,4,0.999,0.999
20,1,140,0.5,6,0.9985,0.9985
20,1,140,0.5,10,0.99775,0.99775
20,1,160,0.0,4,0.08175,
20,1,160,0.0,6,0.0545,
20,1,160,0.0,10,0.029,
20,1,160,0.2,4,0.36975,0.3185
20,1,160,0.2,6,0.30725,0.2705
20,1,160,0.2,10,0.2335,0.2135
20,1,160,0.3,4,0.8045,0.791
20,1,160,0.3,6,0.75875,0.74925
20,1,160,0.3,10,0.70125,0.69325
20,1,160,0.4,4,0.9875,0.987
20,1,160,0.4,6,0.98125,0.98125
20,1,160,0.4,10,0.97025,0.97025
