n,rho,p_bf3,p_bf3_dir,p_bf6,p_bf6_dir,p_bf10,p_bf10_dir,p_nulo,bf_mediano
20,0.0,0.0179,0.0205,0.008,0.0098,0.0042,0.0053,0.7334,0.21988659224969953
20,0.1,0.0253,0.0445,0.0128,0.0223,0.0073,0.0136,0.6991,0.23107708856650114
20,0.2,0.0537,0.0959,0.0301,0.0521,0.0182,0.0333,0.5939,0.27157961564245936
20,0.3,0.1189,0.191,0.0714,0.1176,0.0473,0.0813,0.4473,0.3871888100097892
20,0.4,0.2431,0.3513,0.1559,0.2402,0.1131,0.1733,0.2686,0.7855329559838355
20,0.5,0.4258,0.552,0.3117,0.4227,0.2457,0.336,0.1278,2.0480136976750325
25,0.0,0.0138,0.0173,0.0067,0.0071,0.0033,0.0036,0.7788,0.1977477346551222
25,0.1,0.0248,0.0463,0.012,0.0233,0.0072,0.0131,0.7277,0.2082691140095686
25,0.2,0.0683,0.1161,0.0365,0.0672,0.0234,0.0428,0.5953,0.2636853537200809
25,0.3,0.1511,0.2345,0.0947,0.1501,0.066,0.1053,0.4099,0.44217052201820883
25,0.4,0.3075,0.4276,0.2192,0.3061,0.1607,0.2367,0.229,1.0808687321162502
25,0.5,0.5391,0.6596,0.4189,0.5376,0.3447,0.4434,0.0899,3.705907120500111
30,0.0,0.0116,0.0152,0.0062,0.0061,0.0037,0.0036,0.8062,0.18033174225263923
30,0.1,0.0277,0.0467,0.0146,0.0246,0.0089,0.016,0.7451,0.19159128434467745
30,0.2,0.082,0.1324,0.0441,0.0811,0.0289,0.0524,0.5866,0.2604256941671046
30,0.3,0.178,0.2739,0.1155,0.1768,0.0829,0.1296,0.3808,0.5109725286094543
30,0.4,0.3812,0.5007,0.2782,0.3792,0.2153,0.3014,0.1805,1.5407757228856156
30,0.5,0.6349,0.7426,0.5251,0.6326,0.4454,0.5523,0.0602,6.889862980004503
35,0.0,0.0132,0.0138,0.0065,0.006,0.0034,0.0035,0.8281,0.16715266812882817
35,0.1,0.0274,0.0522,0.0144,0.0259,0.0073,0.0163,0.7541,0.18377445506512535
35,0.2,0.0812,0.1365,0.0473,0.08,0.0311,0.0538,0.5685,0.27243194778749685
35,0.3,0.2226,0.3194,0.1486,0.2215,0.1086,0.1637,0.3458,0.6165703294705146
35,0.4,0.4389,0.5535,0.3342,0.437,0.2682,0.3544,0.1482,2.058679755067057
35,0.5,0.715,0.8042,0.6176,0.7133,0.5433,0.6403,0.044,13.296919453830633
40,0.0,0.0103,0.0122,0.0047,0.0045,0.003,0.0021,0.8392,0.15878328180565043
40,0.1,0.0306,0.0526,0.0149,0.0293,0.01,0.017,0.764,0.17371524974983305
40,0.2,0.0983,0.1544,0.0577,0.0974,0.0387,0.0674,0.5697,0.2700195572515889
40,0.3,0.2508,0.3522,0.1702,0.2493,0.131,0.1892,0.3144,0.7124152786956639
40,0.4,0.4951,0.612,0.3916,0.4926,0.3224,0.4175,0.1182,2.8998343510416063
40,0.5,0.7807,0.8597,0.6939,0.7791,0.6216,0.7162,0.0293,25.777945693070563
45,0.0,0.0099,0.0118,0.0045,0.0056,0.0025,0.0032,0.8549,0.14785672724219448
45,0.1,0.0265,0.0515,0.0128,0.0255,0.008,0.0145,0.7671,0.1652830280178707
45,0.2,0.0999,0.1628,0.0603,0.099,0.042,0.068,0.5479,0.28062455982243856
