K,n_true,n,rho,p_any,p_true,media_falsos
5,1,40,0.0,0.0525,,0.0575
5,1,40,0.3,0.2925,0.255,0.06
5,1,40,0.4,0.5,0.47,0.0875
5,1,60,0.0,0.0625,,0.0675
5,1,60,0.3,0.515,0.4725,0.085
5,1,60,0.4,0.7625,0.7475,0.075
5,1,72,0.0,0.0525,,0.0575
5,1,72,0.3,0.5125,0.4925,0.045
5,1,72,0.4,0.8475,0.8375,0.07
5,1,100,0.0,0.0575,,0.0625
5,1,100,0.3,0.7075,0.695,0.0775
5,1,100,0.4,0.9525,0.9475,0.0725
5,1,140,0.0,0.045,,0.0475
5,1,140,0.3,0.8925,0.89,0.07
5,1,140,0.4,0.9925,0.9925,0.085
14,1,40,0.0,0.185,,0.23
14,1,40,0.3,0.315,0.2075,0.2175
14,1,40,0.4,0.5075,0.43,0.21
14,1,60,0.0,0.1,,0.1125
14,1,60,0.3,0.495,0.4075,0.215
14,1,60,0.4,0.705,0.665,0.145
14,1,72,0.0,0.1125,,0.1275
14,1,72,0.3,0.5475,0.5,0.1625
14,1,72,0.4,0.815,0.7975,0.175
14,1,100,0.0,0.13,,0.155
14,1,100,0.3,0.68,0.64,0.125
14,1,100,0.4,0.9275,0.92,0.2025
14,1,140,0.0,0.12,,0.1425
14,1,140,0.3,0.835,0.8225,0.145
14,1,140,0.4,0.9875,0.9875,0.165
