K,n_true,n,rho,p_any,p_true,media_falsos
20,1,40,0.0,0.2425,,0.3325
20,1,40,0.2,0.3175,0.1025,0.395
20,1,40,0.3,0.45,0.2625,0.425
20,1,40,0.4,0.595,0.4775,0.4075
20,1,40,0.5,0.79,0.725,0.4575
20,1,50,0.0,0.2075,,0.2925
20,1,50,0.2,0.3425,0.13,0.355
20,1,50,0.3,0.4,0.2725,0.2375
20,1,50,0.4,0.6475,0.58,0.2625
20,1,50,0.5,0.88,0.8475,0.315
20,1,60,0.0,0.1875,,0.24
20,1,60,0.2,0.3075,0.14,0.245
20,1,60,0.3,0.4925,0.3675,0.2425
20,1,60,0.4,0.745,0.695,0.2275
20,1,60,0.5,0.935,0.93,0.27
20,1,72,0.0,0.18,,0.225
20,1,72,0.2,0.32,0.175,0.235
20,1,72,0.3,0.535,0.4575,0.2075
20,1,72,0.4,0.8025,0.7575,0.25
20,1,72,0.5,0.945,0.945,0.2675
20,1,85,0.0,0.16,,0.195
20,1,85,0.2,0.36,0.2375,0.195
20,1,85,0.3,0.605,0.535,0.1875
20,1,85,0.4,0.865,0.8425,0.2175
20,1,85,0.5,0.9875,0.985,0.235
20,1,100,0.0,0.1325,,0.15
20,1,100,0.2,0.37,0.25,0.21
20,1,100,0.3,0.68,0.645,0.175
20,1,100,0.4,0.9175,0.9025,0.2375
20,1,100,0.5,0.9975,0.9975,0.235
20,1,120,0.0,0.155,,0.18
20,1,120,0.2,0.4275,0.325,0.2375
20,1,120,0.3,0.775,0.735,0.195
20,1,120,0.4,0.9725,0.97,0.2525
20,1,120,0.5,1.0,1.0,0.235
20,1,140,0.0,0.15,,0.175
20,1,140,0.2,0.4225,0.34,0.1825
20,1,140,0.3,0.8125,0.78,0.185
20,1,140,0.4,0.9925,0.9925,0.2375
20,1,140,0.5,1.0,1.0,0.215
20,1,160,0.0,0.17,,0.185
20,1,160,0.2,0.54,0.445,0.2125
20,1,160,0.3,0.8975,0.88,0.2125
20,1,160,0.4,0.9975,0.9975,0.2175
20,1,160,0.5,1.0,1.0,0.255
10,1,40,0.0,0.1275,,0.1375
10,1,40,0.3,0.3075,0.22,0.135
10,1,40,0.4,0.4975,0.4725,0.13
10,1,60,0.0,0.1025,,0.105
10,1,60,0.3,0.4525,0.41,0.1125
10,1,60,0.4,0.7525,0.7325,0.13
10,1,72,0.0,0.0825,,0.1
10,1,72,0.3,0.475,0.44,0.085
10,1,72,0.4,0.82,0.795,0.1475
10,1,100,0.0,0.1,,0.115
10,1,100,0.3,0.6825,0.6675,0.0775
10,1,100,0.4,0.9325,0.9225,0.135
10,1,140,0.0,0.08,,0.0825
10,1,140,0.3,0.8525,0.835,0.13
10,1,140,0.4,0.99,0.9875,0.135
20,2,40,0.3,0.605,0.475,0.4575
20,2,50,0.3,0.65,0.575,0.2925
20,2,60,0.3,0.725,0.675,0.315
20,2,72,0.3,0.79,0.7475,0.2525
20,2,85,0.3,0.84,0.8175,0.2275
20,2,100,0.3,0.8925,0.88,0.24
20,2,120,0.3,0.96,0.955,0.1975
20,2,140,0.3,0.985,0.9825,0.255
20,2,160,0.3,0.9975,0.9975,0.235
