K,n_total,n_por_grupo,d,d_h,umbral_bf,p_any,p_true
5,48,24,0.0,0.0,4,0.0415,
5,48,24,0.0,0.0,6,0.026,
5,48,24,0.0,0.0,10,0.015,
5,48,24,0.5,0.0,4,0.15575,0.1305
5,48,24,0.5,0.0,6,0.117,0.10125
5,48,24,0.5,0.0,10,0.082,0.072
5,48,24,0.65,0.0,4,0.25725,0.23875
5,48,24,0.65,0.0,6,0.209,0.19725
5,48,24,0.65,0.0,10,0.15275,0.14525
5,48,24,0.7,0.0,4,0.328,0.3065
5,48,24,0.7,0.0,6,0.266,0.24975
5,48,24,0.7,0.0,10,0.20375,0.194
5,48,24,0.8,0.0,4,0.4435,0.42775
5,48,24,0.8,0.0,6,0.37475,0.36475
5,48,24,0.8,0.0,10,0.30525,0.3005
5,48,24,1.0,0.0,4,0.67825,0.67075
5,48,24,1.0,0.0,6,0.613,0.6085
5,48,24,1.0,0.0,10,0.5335,0.5295
5,60,30,0.0,0.0,4,0.0345,
5,60,30,0.0,0.0,6,0.0205,
5,60,30,0.0,0.0,10,0.0115,
5,60,30,0.5,0.0,4,0.198,0.178
5,60,30,0.5,0.0,6,0.1535,0.14275
5,60,30,0.5,0.0,10,0.11575,0.10925
5,60,30,0.65,0.0,4,0.3625,0.351
5,60,30,0.65,0.0,6,0.30175,0.2935
5,60,30,0.65,0.0,10,0.24025,0.235
5,60,30,0.7,0.0,4,0.4295,0.41425
5,60,30,0.7,0.0,6,0.36075,0.35125
5,60,30,0.7,0.0,10,0.2945,0.2895
5,60,30,0.8,0.0,4,0.5395,0.52875
5,60,30,0.8,0.0,6,0.47575,0.4695
5,60,30,0.8,0.0,10,0.4015,0.3985
5,60,30,1.0,0.0,4,0.79575,0.79
5,60,30,1.0,0.0,6,0.75075,0.7475
5,60,30,1.0,0.0,10,0.68475,0.68275
5,72,36,0.0,0.0,4,0.03175,
5,72,36,0.0,0.0,6,0.0215,
5,72,36,0.0,0.0,10,0.0125,
5,72,36,0.5,0.0,4,0.239,0.22025
5,72,36,0.5,0.0,6,0.19275,0.17925
5,72,36,0.5,0.0,10,0.14425,0.136
5,72,36,0.65,0.0,4,0.4375,0.42475
5,72,36,0.65,0.0,6,0.37825,0.36675
5,72,36,0.65,0.0,10,0.30625,0.29925
5,72,36,0.7,0.0,4,0.522,0.51375
5,72,36,0.7,0.0,6,0.4515,0.44525
5,72,36,0.7,0.0,10,0.38125,0.3775
5,72,36,0.8,0.0,4,0.672,0.66475
5,72,36,0.8,0.0,6,0.61075,0.6045
5,72,36,0.8,0.0,10,0.53975,0.53525
5,72,36,1.0,0.0,4,0.88225,0.88025
5,72,36,1.0,0.0,6,0.844,0.84325
5,72,36,1.0,0.0,10,0.79725,0.797
5,84,42,0.0,0.0,4,0.02725,
5,84,42,0.0,0.0,6,0.0165,
5,84,42,0.0,0.0,10,0.01025,
5,84,42,0.5,0.0,4,0.28475,0.26975
5,84,42,0.5,0.0,6,0.2345,0.225
5,84,42,0.5,0.0,10,0.1815,0.176
5,84,42,0.65,0.0,4,0.52125,0.512
5,84,42,0.65,0.0,6,0.46025,0.454
5,84,42,0.65,0.0,10,0.38675,0.3825
5,84,42,0.7,0.0,4,0.6025,0.5965
5,84,42,0.7,0.0,6,0.54125,0.53675
5,84,42,0.7,0.0,10,0.46475,0.46225
5,84,42,0.8,0.0,4,0.75125,0.74425
5,84,42,0.8,0.0,6,0.6995,0.69425
5,84,42,0.8,0.0,10,0.6345,0.63125
5,84,42,1.0,0.0,4,0.94075,0.94
5,84,42,1.0,0.0,6,0.91925,0.9185
5,84,42,1.0,0.0,10,0.8855,0.8845
5,100,50,0.0,0.0,4,0.0245,
5,100,50,0.0,0.0,6,0.01675,
5,100,50,0.0,0.0,10,0.0095,
5,100,50,0.5,0.0,4,0.3415,0.329
5,100,50,0.5,0.0,6,0.2845,0.27675
5,100,50,0.5,0.0,10,0.22875,0.22525
5,100,50,0.65,0.0,4,0.62425,0.6185
5,100,50,0.65,0.0,6,0.5645,0.56025
5,100,50,0.65,0.0,10,0.49425,0.491
5,100,50,0.7,0.0,4,0.70475,0.70025
5,100,50,0.7,0.0,6,0.65125,0.64775
5,100,50,0.7,0.0,10,0.58625,0.58375
5,100,50,0.8,0.0,4,0.84325,0.84025
5,100,50,0.8,0.0,6,0.79975,0.798
5,100,50,0.8,0.0,10,0.7405,0.73875
5,100,50,1.0,0.0,4,0.97575,0.975
5,100,50,1.0,0.0,6,0.96475,0.9645
5,100,50,1.0,0.0,10,0.9445,0.944
5,120,60,0.0,0.0,4,0.0245,
5,120,60,0.0,0.0,6,0.01525,
5,120,60,0.0,0.0,10,0.009,
5,120,60,0.5,0.0,4,0.43675,0.4265
5,120,60,0.5,0.0,6,0.3715,0.36475
5,120,60,0.5,0.0,10,0.30575,0.30175
5,120,60,0.65,0.0,4,0.7185,0.71375
5,120,60,0.65,0.0,6,0.67,0.66625
5,120,60,0.65,0.0,10,0.60175,0.59925
5,120,60,0.7,0.0,4,0.807,0.80425
5,120,60,0.7,0.0,6,0.7615,0.759
5,120,60,0.7,0.0,10,0.70475,0.70275
5,120,60,0.8,0.0,4,0.9145,0.91325
5,120,60,0.8,0.0,6,0.88925,0.88725
5,120,60,0.8,0.0,10,0.84675,0.84525
5,120,60,1.0,0.0,4,0.99175,0.9915
5,120,60,1.0,0.0,6,0.9875,0.98725
5,120,60,1.0,0.0,10,0.982,0.9815
5,160,80,0.0,0.0,4,0.017,
5,160,80,0.0,0.0,6,0.01125,
5,160,80,0.0,0.0,10,0.00675,
5,160,80,0.5,0.0,4,0.5795,0.57425
5,160,80,0.5,0.0,6,0.52125,0.51875
5,160,80,0.5,0.0,10,0.45775,0.45575
5,160,80,0.65,0.0,4,0.8645,0.8625
5,160,80,0.65,0.0,6,0.8285,0.82625
5,160,80,0.65,0.0,10,0.7855,0.78425
5,160,80,0.7,0.0,4,0.9255,0.92475
5,160,80,0.7,0.0,6,0.896,0.8955
5,160,80,0.7,0.0,10,0.864,0.86325
5,160,80,0.8,0.0,4,0.977,0.97675
5,160,80,0.8,0.0,6,0.96825,0.968
5,160,80,0.8,0.0,10,0.95125,0.95125
5,160,80,1.0,0.0,4,1.0,1.0
5,160,80,1.0,0.0,6,0.9995,0.9995
5,160,80,1.0,0.0,10,0.998,0.998
10,48,24,0.0,0.0,4,0.08525,
10,48,24,0.0,0.0,6,0.05675,
10,48,24,0.0,0.0,10,0.03425,
10,48,24,0.5,0.0,4,0.1785,0.1245
10,48,24,0.5,0.0,6,0.134,0.096
10,48,24,0.5,0.0,10,0.091,0.06675
10,48,24,0.65,0.0,4,0.2775,0.232
10,48,24,0.65,0.0,6,0.2105,0.18175
10,48,24,0.65,0.0,10,0.153,0.13675
10,48,24,0.7,0.0,4,0.3095,0.27125
10,48,24,0.7,0.0,6,0.246,0.22
10,48,24,0.7,0.0,10,0.17975,0.16075
10,48,24,0.8,0.0,4,0.40425,0.36675
10,48,24,0.8,0.0,6,0.3355,0.307
10,48,24,0.8,0.0,10,0.26675,0.248
10,48,24,1.0,0.0,4,0.62075,0.601
10,48,24,1.0,0.0,6,0.55025,0.53525
10,48,24,1.0,0.0,10,0.46075,0.45175
10,60,30,0.0,0.0,4,0.067,
10,60,30,0.0,0.0,6,0.0395,
10,60,30,0.0,0.0,10,0.02275,
10,60,30,0.5,0.0,4,0.203,0.159
10,60,30,0.5,0.0,6,0.158,0.1265
10,60,30,0.5,0.0,10,0.10875,0.09225
10,60,30,0.65,0.0,4,0.34725,0.31075
10,60,30,0.65,0.0,6,0.28575,0.2585
10,60,30,0.65,0.0,10,0.22075,0.20525
10,60,30,0.7,0.0,4,0.416,0.3815
10,60,30,0.7,0.0,6,0.3395,0.3155
10,60,30,0.7,0.0,10,0.2655,0.251
10,60,30,0.8,0.0,4,0.541,0.51925
10,60,30,0.8,0.0,6,0.4635,0.4475
10,60,30,0.8,0.0,10,0.389,0.377
10,60,30,1.0,0.0,4,0.772,0.76125
10,60,30,1.0,0.0,6,0.70575,0.69625
10,60,30,1.0,0.0,10,0.62625,0.61875
10,72,36,0.0,0.0,4,0.05975,
10,72,36,0.0,0.0,6,0.0385,
10,72,36,0.0,0.0,10,0.0205,
10,72,36,0.5,0.0,4,0.25325,0.21425
10,72,36,0.5,0.0,6,0.19225,0.166
10,72,36,0.5,0.0,10,0.14375,0.12825
10,72,36,0.65,0.0,4,0.42575,0.391
10,72,36,0.65,0.0,6,0.361,0.335
10,72,36,0.65,0.0,10,0.28975,0.273
10,72,36,0.7,0.0,4,0.50625,0.4765
10,72,36,0.7,0.0,6,0.439,0.41725
10,72,36,0.7,0.0,10,0.3495,0.336
10,72,36,0.8,0.0,4,0.6325,0.61475
10,72,36,0.8,0.0,6,0.55975,0.547
10,72,36,0.8,0.0,10,0.47875,0.4705
10,72,36,1.0,0.0,4,0.85375,0.845
10,72,36,1.0,0.0,6,0.815,0.80825
10,72,36,1.0,0.0,10,0.75925,0.754
10,84,42,0.0,0.0,4,0.057,
