K,n_total,n_por_grupo,d,d_h,p_any,p_true,p_horm
5,72,36,0.0,0.0,0.0275,,0.01
5,72,36,0.5,0.0,0.265,0.2375,0.0075
5,72,36,0.65,0.0,0.465,0.455,0.0075
5,72,36,0.7,0.0,0.53,0.515,0.01
5,72,36,0.8,0.0,0.6675,0.66,0.005
5,72,36,1.0,0.0,0.8975,0.8925,0.0125
5,48,24,0.0,0.0,0.0375,,0.0125
5,48,24,0.5,0.0,0.1775,0.145,0.01
5,48,24,0.65,0.0,0.3125,0.2875,0.0075
5,48,24,0.7,0.0,0.365,0.34,0.01
5,48,24,0.8,0.0,0.465,0.455,0.015
5,48,24,1.0,0.0,0.7275,0.725,0.0025
5,60,30,0.0,0.0,0.035,,0.01
5,60,30,0.5,0.0,0.2025,0.195,0.01
5,60,30,0.65,0.0,0.3725,0.3525,0.0075
5,60,30,0.7,0.0,0.51,0.495,0.0075
5,60,30,0.8,0.0,0.615,0.5925,0.0175
5,60,30,1.0,0.0,0.8275,0.8275,0.0125
5,84,42,0.0,0.0,0.0475,,0.0025
5,84,42,0.5,0.0,0.35,0.335,0.01
5,84,42,0.65,0.0,0.59,0.57,0.015
5,84,42,0.7,0.0,0.635,0.625,0.0125
5,84,42,0.8,0.0,0.775,0.7675,0.0175
5,84,42,1.0,0.0,0.975,0.975,0.0075
5,100,50,0.0,0.0,0.0475,,0.01
5,100,50,0.5,0.0,0.385,0.365,0.0075
5,100,50,0.65,0.0,0.685,0.6725,0.015
5,100,50,0.7,0.0,0.7825,0.78,0.0125
5,100,50,0.8,0.0,0.82,0.8175,0.005
5,100,50,1.0,0.0,0.99,0.99,0.0125
5,120,60,0.0,0.0,0.03,,0.0075
5,120,60,0.5,0.0,0.495,0.4775,0.01
5,120,60,0.65,0.0,0.77,0.76,0.0125
5,120,60,0.7,0.0,0.84,0.8375,0.0125
5,120,60,0.8,0.0,0.94,0.935,0.0075
5,120,60,1.0,0.0,0.99,0.99,0.01
5,160,80,0.0,0.0,0.04,,0.0
5,160,80,0.5,0.0,0.6525,0.6525,0.0
5,160,80,0.65,0.0,0.875,0.87,0.01
5,160,80,0.7,0.0,0.96,0.9575,0.01
5,160,80,0.8,0.0,0.975,0.975,0.0175
5,160,80,1.0,0.0,1.0,1.0,0.0125
10,72,36,0.0,0.0,0.0675,,0.02
10,72,36,0.65,0.0,0.475,0.4425,0.01
10,72,36,0.7,0.0,0.5875,0.57,0.005
14,72,36,0.0,0.0,0.075,,0.01
14,72,36,0.65,0.0,0.475,0.42,0.01
14,72,36,0.7,0.0,0.605,0.5575,0.0125
20,72,36,0.0,0.0,0.1575,,0.02
20,72,36,0.65,0.0,0.5925,0.5075,0.0175
20,72,36,0.7,0.0,0.6125,0.55,0.0125
5,72,36,0.65,0.3,0.47,0.4425,0.085
5,72,36,0.7,0.3,0.585,0.5725,0.0775
