K,N,n_por_grupo,D,R2,d_h,power_bf4,power_bf6,power_bf10
5,40,20,0.0,0.0,0.0,0.01125,0.00725,0.00275
5,40,20,0.5,0.058823529411764705,0.0,0.05425,0.038,0.0265
5,40,20,0.65,0.09553420011305823,0.0,0.091,0.06525,0.0425
5,40,20,0.7,0.10913140311804007,0.0,0.10575,0.0815,0.0525
5,40,20,0.8,0.13793103448275862,0.0,0.16675,0.1275,0.08875
5,40,20,1.0,0.2,0.0,0.2935,0.24075,0.1815
5,48,24,0.0,0.0,0.0,0.01,0.00625,0.00475
5,48,24,0.5,0.058823529411764705,0.0,0.056,0.04275,0.031
5,48,24,0.65,0.09553420011305823,0.0,0.10425,0.07975,0.059
5,48,24,0.7,0.10913140311804007,0.0,0.1355,0.10375,0.072
5,48,24,0.8,0.13793103448275862,0.0,0.20475,0.15825,0.11225
5,48,24,1.0,0.2,0.0,0.39125,0.33325,0.2755
5,60,30,0.0,0.0,0.0,0.00625,0.0035,0.00175
5,60,30,0.5,0.058823529411764705,0.0,0.07525,0.056,0.04025
5,60,30,0.65,0.09553420011305823,0.0,0.15125,0.12,0.08975
5,60,30,0.7,0.10913140311804007,0.0,0.16825,0.136,0.1015
5,60,30,0.8,0.13793103448275862,0.0,0.2735,0.2305,0.17825
5,60,30,1.0,0.2,0.0,0.51975,0.457,0.38325
5,72,36,0.0,0.0,0.0,0.0065,0.0045,0.00325
5,72,36,0.0,0.0,0.3,0.02375,0.0155,0.00875
5,72,36,0.5,0.058823529411764705,0.0,0.07125,0.05475,0.0375
5,72,36,0.5,0.058823529411764705,0.3,0.1295,0.1035,0.07675
5,72,36,0.65,0.09553420011305823,0.0,0.18325,0.1455,0.10925
5,72,36,0.65,0.09553420011305823,0.3,0.25775,0.21375,0.175
5,72,36,0.7,0.10913140311804007,0.0,0.23875,0.1965,0.15075
5,72,36,0.7,0.10913140311804007,0.3,0.317,0.2665,0.21175
5,72,36,0.8,0.13793103448275862,0.0,0.34,0.29375,0.2415
5,72,36,0.8,0.13793103448275862,0.3,0.466,0.4115,0.34275
5,72,36,1.0,0.2,0.0,0.64375,0.58975,0.51875
5,72,36,1.0,0.2,0.3,0.73025,0.6825,0.621
5,84,42,0.0,0.0,0.0,0.0065,0.005,0.0025
5,84,42,0.5,0.058823529411764705,0.0,0.0865,0.07125,0.05275
5,84,42,0.65,0.09553420011305823,0.0,0.227,0.1915,0.14825
5,84,42,0.7,0.10913140311804007,0.0,0.296,0.2535,0.1975
5,84,42,0.8,0.13793103448275862,0.0,0.415,0.36225,0.3025
5,84,42,1.0,0.2,0.0,0.734,0.69075,0.6295
5,100,50,0.0,0.0,0.0,0.00475,0.00375,0.0015
5,100,50,0.5,0.058823529411764705,0.0,0.11525,0.0925,0.06875
5,100,50,0.65,0.09553420011305823,0.0,0.28625,0.24475,0.19975
5,100,50,0.7,0.10913140311804007,0.0,0.3775,0.332,0.27275
5,100,50,0.8,0.13793103448275862,0.0,0.53725,0.49475,0.43025
5,100,50,1.0,0.2,0.0,0.83075,0.7985,0.75075
5,120,60,0.0,0.0,0.0,0.00525,0.00325,0.00225
5,120,60,0.5,0.058823529411764705,0.0,0.15175,0.12525,0.1025
5,120,60,0.65,0.09553420011305823,0.0,0.37,0.3245,0.2695
5,120,60,0.7,0.10913140311804007,0.0,0.47725,0.4255,0.36575
5,120,60,0.8,0.13793103448275862,0.0,0.649,0.60625,0.54675
5,120,60,1.0,0.2,0.0,0.91475,0.89675,0.86675
5,160,80,0.0,0.0,0.0,0.002,0.0015,0.00125
5,160,80,0.5,0.058823529411764705,0.0,0.219,0.18575,0.15275
5,160,80,0.65,0.09553420011305823,0.0,0.51775,0.4765,0.42325
5,160,80,0.7,0.10913140311804007,0.0,0.64325,0.5995,0.5445
5,160,80,0.8,0.13793103448275862,0.0,0.81225,0.7785,0.735
5,160,80,1.0,0.2,0.0,0.9825,0.97525,0.96775
5,200,100,0.0,0.0,0.0,0.00175,0.0015,0.001
5,200,100,0.5,0.058823529411764705,0.0,0.30375,0.27575,0.2325
5,200,100,0.65,0.09553420011305823,0.0,0.6745,0.632,0.57025
5,200,100,0.7,0.10913140311804007,0.0,0.77125,0.73975,0.70075
5,200,100,0.8,0.13793103448275862,0.0,0.92775,0.91125,0.8855
5,200,100,1.0,0.2,0.0,0.9965,0.99525,0.9935
5,240,120,0.0,0.0,0.0,0.0015,0.00075,0.0005
5,240,120,0.5,0.058823529411764705,0.0,0.3985,0.36125,0.3065
5,240,120,0.65,0.09553420011305823,0.0,0.7755,0.74475,0.70375
5,240,120,0.7,0.10913140311804007,0.0,0.87,0.84575,0.813
5,240,120,0.8,0.13793103448275862,0.0,0.96425,0.956,0.9455
5,240,120,1.0,0.2,0.0,0.99925,0.99925,0.999
5,280,140,0.0,0.0,0.0,0.0005,0.0,0.0
5,280,140,0.5,0.058823529411764705,0.0,0.47925,0.44075,0.38975
5,280,140,0.65,0.09553420011305823,0.0,0.873,0.84975,0.81775
5,280,140,0.7,0.10913140311804007,0.0,0.94075,0.92175,0.9035
5,280,140,0.8,0.13793103448275862,0.0,0.988,0.98375,0.97975
5,280,140,1.0,0.2,0.0,1.0,1.0,1.0
5,320,160,0.0,0.0,0.0,0.0005,0.00025,0.00025
5,320,160,0.5,0.058823529411764705,0.0,0.57,0.5265,0.47375
5,320,160,0.65,0.09553420011305823,0.0,0.9205,0.9035,0.87975
5,320,160,0.7,0.10913140311804007,0.0,0.96625,0.95675,0.94575
5,320,160,0.8,0.13793103448275862,0.0,0.996,0.99425,0.99225
5,320,160,1.0,0.2,0.0,1.0,1.0,1.0
10,40,20,0.0,0.0,0.0,0.01175,0.00625,0.003
10,40,20,0.5,0.058823529411764705,0.0,0.026,0.018,0.0115
10,40,20,0.65,0.09553420011305823,0.0,0.04325,0.03125,0.01875
10,40,20,0.7,0.10913140311804007,0.0,0.052,0.0375,0.02275
