K,N,R2,r2hat_medio,power_bf4,power_bf6,power_bf10
5,50,0.0,0.10188372764193414,0.00825,0.005,0.0035
5,50,0.04,0.13706974654155535,0.045,0.032,0.024
5,50,0.09,0.18183759797366017,0.135,0.106,0.07775
5,50,0.16,0.23990548780972093,0.31775,0.26275,0.207
5,50,0.25,0.3165598486512997,0.615,0.549,0.47825
5,60,0.0,0.08487665133523101,0.0075,0.0055,0.00375
5,60,0.04,0.1212936267071495,0.052,0.03775,0.02525
5,60,0.09,0.1653295118878011,0.159,0.122,0.092
5,60,0.16,0.22725643603200085,0.41025,0.3535,0.28975
5,60,0.25,0.3069438931568116,0.7435,0.69525,0.631
5,72,0.0,0.06996513378619079,0.0055,0.004,0.003
5,72,0.04,0.10560686048157217,0.0525,0.0375,0.026
5,72,0.09,0.1506820354308204,0.18625,0.145,0.11225
5,72,0.16,0.21342230022176004,0.4855,0.43125,0.369
5,72,0.25,0.29715034614245495,0.837,0.8005,0.7505
5,100,0.0,0.05053193929503492,0.00675,0.0045,0.002
5,100,0.04,0.0873386646239897,0.077,0.057,0.03875
5,100,0.09,0.13451813415287214,0.30925,0.26725,0.21575
5,100,0.16,0.19947158527707706,0.697,0.65125,0.59275
5,100,0.25,0.28326225565102053,0.9515,0.93925,0.9165
5,150,0.0,0.033303391412817254,0.00275,0.001,0.00075
5,150,0.04,0.07138882789575982,0.1245,0.1005,0.0785
5,150,0.09,0.1191176666449804,0.50625,0.4625,0.398
5,150,0.16,0.18659441145102346,0.909,0.88775,0.86025
5,150,0.25,0.27272983986875043,0.99825,0.99725,0.99475
5,200,0.0,0.025573421450147727,0.0015,0.00075,0.0005
5,200,0.04,0.06235837080814119,0.17475,0.147,0.1145
5,200,0.09,0.11097747697302075,0.68675,0.64225,0.59
5,200,0.16,0.17857808606474448,0.98,0.974,0.96425
5,200,0.25,0.2654404504256691,1.0,1.0,1.0
5,250,0.0,0.020338408338712508,0.0025,0.002,0.002
5,250,0.04,0.05863524877971459,0.2525,0.2205,0.18175
5,250,0.09,0.10746314724972611,0.817,0.785,0.74875
5,250,0.16,0.17516031881181826,0.996,0.99475,0.9915
5,250,0.25,0.261600344864065,1.0,1.0,1.0
5,300,0.0,0.016572748250881515,0.001,0.0005,0.00025
5,300,0.04,0.056079409908293694,0.325,0.28775,0.24475
5,300,0.09,0.10386877466942007,0.89625,0.877,0.84525
5,300,0.16,0.1722516040883402,0.9985,0.99825,0.99825
5,300,0.25,0.2596853242359371,1.0,1.0,1.0
10,50,0.0,0.20658585196546628,0.0065,0.00575,0.00325
10,50,0.04,0.2360441032295857,0.025,0.0175,0.01275
10,50,0.09,0.26987650407113617,0.05575,0.04025,0.0295
10,50,0.16,0.32712477303918425,0.15325,0.1215,0.08875
10,50,0.25,0.39725955738419566,0.37975,0.3255,0.2685
10,60,0.0,0.16811296432386388,0.00625,0.004,0.00225
10,60,0.04,0.20101453270352562,0.0225,0.0155,0.01075
10,60,0.09,0.24086955544182256,0.06875,0.056,0.04
10,60,0.16,0.2956059298418652,0.2,0.1675,0.12875
10,60,0.25,0.3699813710222925,0.48325,0.4345,0.3685
10,72,0.0,0.14054209247117233,0.00475,0.00275,0.0015
10,72,0.04,0.1737280438499608,0.0205,0.01675,0.01
10,72,0.09,0.2171020461066326,0.0855,0.06675,0.0465
10,72,0.16,0.2750707356620119,0.25925,0.21975,0.177
10,72,0.25,0.35204672899725203,0.623,0.573,0.50825
10,100,0.0,0.10052086417876128,0.00225,0.002,0.001
10,100,0.04,0.13536635813579664,0.0235,0.0165,0.01125
10,100,0.09,0.1791232495887321,0.13025,0.10775,0.08275
10,100,0.16,0.2427104983489559,0.4315,0.3875,0.335
10,100,0.25,0.3212652856611028,0.82175,0.79,0.74625
10,150,0.0,0.06712799086029088,0.00325,0.00175,0.0005
10,150,0.04,0.10372369774040537,0.04725,0.0405,0.031
10,150,0.09,0.1491114483564761,0.23075,0.2045,0.17375
10,150,0.16,0.21479792659744557,0.71175,0.67025,0.6195
10,150,0.25,0.29645771795884646,0.9745,0.96925,0.9595
10,200,0.0,0.050162988048225235,0.00075,0.00075,0.0
10,200,0.04,0.08809886109716206,0.06225,0.049,0.03775
10,200,0.09,0.1352071374449121,0.38675,0.35125,0.30675
10,200,0.16,0.20169513566066194,0.88175,0.856,0.828
10,200,0.25,0.2847751413342285,0.998,0.9975,0.99625
10,250,0.0,0.04013186621898255,0.0,0.0,0.0
10,250,0.04,0.07830637121078778,0.0825,0.071,0.05625
10,250,0.09,0.12594164733061433,0.532,0.49375,0.44675
10,250,0.16,0.19118628904016685,0.95775,0.94875,0.938
10,250,0.25,0.2775710707958645,1.0,1.0,0.9995
10,300,0.0,0.033547270117013396,0.00075,0.00075,0.0005
10,300,0.04,0.07179982354814067,0.10875,0.09275,0.075
10,300,0.09,0.11859003524672596,0.6365,0.60425,0.56225
10,300,0.16,0.18700049490924836,0.98725,0.9845,0.9805
10,300,0.25,0.27371314117691414,1.0,1.0,1.0
14,50,0.0,0.28522300979129384,0.004,0.00225,0.0015
14,50,0.04,0.3134901225313044,0.015,0.011,0.00575
14,50,0.09,0.34469410103963244,0.03675,0.02875,0.01625
14,50,0.16,0.3941226072999973,0.0995,0.07675,0.05125
14,50,0.25,0.45964742437143163,0.25675,0.20775,0.1575
14,60,0.0,0.238128290019028,0.00225,0.00225,0.001
14,60,0.04,0.2659485686311983,0.0145,0.01225,0.008
14,60,0.09,0.3042368885293735,0.042,0.03,0.022
14,60,0.16,0.35591013398419763,0.1255,0.10425,0.07825
14,60,0.25,0.4211614206565448,0.3345,0.28825,0.24
14,72,0.0,0.19862734200215895,0.003,0.0025,0.00175
14,72,0.04,0.22927756105275537,0.0145,0.011,0.00725
14,72,0.09,0.2686802082768926,0.0495,0.03875,0.02825
14,72,0.16,0.32355200499902115,0.1755,0.14525,0.11475
14,72,0.25,0.3917945005150231,0.44675,0.3985,0.3415
14,100,0.0,0.14131592271152107,0.00125,0.0005,0.0005
14,100,0.04,0.17471034540148034,0.0185,0.013,0.00825
14,100,0.09,0.21478804305144358,0.074,0.0635,0.04625
14,100,0.16,0.27568340833842153,0.29275,0.2565,0.212
14,100,0.25,0.3501302802693707,0.688,0.65025,0.5975
14,150,0.0,0.09446806938866448,0.0005,0.0005,0.00025
14,150,0.04,0.12968643154988507,0.023,0.01775,0.0115
14,150,0.09,0.17454688928604975,0.14125,0.1225,0.1
14,150,0.16,0.2369408754228527,0.5475,0.504,0.456
14,150,0.25,0.3161930543673185,0.92825,0.91525,0.891
14,200,0.0,0.0700951886462726,0.001,0.00075,0.0005
14,200,0.04,0.10791163086145218,0.02775,0.02275,0.01475
14,200,0.09,0.15207866007748624,0.224,0.19525,0.16625
14,200,0.16,0.2161173531913773,0.752,0.722,0.684
14,200,0.25,0.3003272525632591,0.98925,0.98775,0.9845
14,250,0.0,0.05598070260695318,0.0,0.0,0.0
14,250,0.04,0.09401112703305281,0.0345,0.02675,0.02125
14,250,0.09,0.13980705438719207,0.34025,0.311,0.27275
14,250,0.16,0.2044217507410821,0.884,0.862,0.836
14,250,0.25,0.2900826554548712,0.9985,0.99825,0.9975
14,300,0.0,0.046890661839725255,0.0,0.0,0.0
14,300,0.04,0.08502778097841102,0.053,0.047,0.03775
14,300,0.09,0.13088212156862283,0.4505,0.41575,0.375
14,300,0.16,0.19754609984486862,0.94975,0.941,0.93025
14,300,0.25,0.28249949899575477,1.0,1.0,0.99975
20,50,0.0,0.40734285113721397,0.00775,0.0045,0.0025
